,Unnamed: 0,event.start,event.end,@timestamp,agent.ephemeral_id,destination.bytes,destination.ip,destination.mac,destination.packets,destination.port,event.duration,event.type,flow.final,flow.id,host.ip,host.mac,network.bytes,network.community_id,network.packets,network.transport,network.type,source.bytes,source.ip,source.mac,source.packets,source.port,Binary
835,596,153,148,29,0,1,0,0,1,286,58,0,0,137,1,1,1,29,1,0,0,0,0,0,0,283,0
836,596,153,148,29,0,1,0,0,1,263,97,0,0,137,1,1,1,29,1,0,0,0,0,0,0,570,0
837,596,153,148,29,0,1,0,0,1,421,150,0,0,137,1,1,1,29,1,0,0,0,0,0,0,140,0
838,390,113,107,6,0,0,0,0,0,163,0,0,0,15,1,1,0,8,0,0,0,0,0,0,0,554,1
839,596,153,148,29,0,1,0,0,1,62,84,0,0,137,1,1,1,29,1,0,0,0,0,0,0,296,0
840,226,75,71,3,0,0,0,0,0,125,0,0,0,64,1,1,0,109,0,0,0,0,0,0,0,145,1
841,52,36,34,1,0,0,0,0,0,86,0,0,0,27,1,1,0,45,0,0,0,0,0,0,0,237,1
842,596,153,148,29,0,1,0,0,1,410,188,0,0,137,1,1,1,29,1,0,0,0,0,0,0,189,0
843,117,53,50,1,0,0,0,0,0,103,0,0,0,11,1,1,0,1,0,0,0,0,0,0,0,506,1
844,596,153,148,29,0,1,0,0,1,23,100,0,0,137,1,1,1,29,1,0,0,0,0,0,0,135,0
845,596,153,148,29,0,1,0,0,1,144,95,0,0,137,1,1,1,29,1,0,0,0,0,0,0,151,0
846,98,48,45,2,0,0,0,0,0,98,0,0,0,132,1,1,0,4,0,0,0,0,0,0,0,105,1
847,287,89,84,3,0,0,0,0,0,139,0,0,0,3,1,1,0,79,0,0,0,0,0,0,0,398,1
848,596,153,148,29,0,1,0,0,1,334,211,0,0,137,1,1,1,29,1,0,0,0,0,0,0,585,0
849,215,72,68,5,0,0,0,0,0,122,0,0,0,49,1,1,0,149,0,0,0,0,0,0,0,19,1
850,596,153,148,29,0,1,0,0,1,74,195,0,0,137,1,1,1,29,1,0,0,0,0,0,0,530,0
851,324,96,91,5,0,0,0,0,0,146,0,0,0,100,1,1,0,141,0,0,0,0,0,0,0,22,1
852,202,70,66,2,0,0,0,0,0,120,0,0,0,92,1,1,0,73,0,0,0,0,0,0,0,331,1
853,78,43,41,3,0,0,0,0,0,93,0,1,1,87,1,1,0,62,0,0,0,0,0,0,0,597,1
854,596,153,148,29,0,1,0,0,1,301,33,0,0,137,1,1,1,29,1,0,0,0,0,0,0,422,0
855,596,153,148,29,0,1,0,0,1,174,72,0,0,137,1,1,1,29,1,0,0,0,0,0,0,288,0
856,9,9,8,0,0,0,0,0,0,59,0,1,1,88,1,1,0,131,0,0,0,0,0,0,0,317,1
857,596,153,148,29,0,1,0,0,1,250,93,0,0,137,1,1,1,29,1,0,0,0,0,0,0,44,0
858,596,153,148,29,0,1,0,0,1,208,194,0,0,137,1,1,1,29,1,0,0,0,0,0,0,586,0
859,109,51,48,2,0,0,0,0,0,101,0,0,0,108,1,1,0,58,0,0,0,0,0,0,0,551,1
860,596,153,148,29,0,1,0,0,1,112,60,0,0,137,1,1,1,29,1,0,0,0,0,0,0,256,0
861,206,71,67,3,0,0,0,0,0,121,0,0,0,83,1,1,0,48,0,0,0,0,0,0,0,421,1
862,596,153,148,29,0,1,0,0,1,336,1,0,0,137,1,1,1,29,1,0,0,0,0,0,0,290,0
863,596,153,148,29,0,1,0,0,1,125,107,0,0,137,1,1,1,29,1,0,0,0,0,0,0,433,0
864,584,147,142,29,0,0,0,0,0,4,0,0,0,13,1,1,0,9,0,0,0,0,0,0,0,436,1
