,Unnamed: 0,destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets,Binary
485,794,56,1,6180.0,132,2,74,1,0
486,794,56,1,6170.0,132,2,74,1,0
487,153,0,0,0.0,74,1,74,1,1
488,424,0,0,0.0,74,1,74,1,1
489,341,0,0,0.0,74,1,74,1,1
490,625,0,0,0.0,74,1,74,1,1
491,660,0,0,1026257300.0,148,2,148,2,1
492,145,0,0,0.0,74,1,74,1,1
493,232,0,0,0.0,74,1,74,1,1
494,155,0,0,0.0,74,1,74,1,1
495,794,56,1,7340.0,132,2,74,1,0
496,794,56,1,7050.0,132,2,74,1,0
497,154,0,0,0.0,74,1,74,1,0
498,794,56,1,7410.0,132,2,74,1,0
499,794,56,1,6200.0,132,2,74,1,0
500,794,56,1,7370.0,132,2,74,1,0
501,366,0,0,1022247400.0,148,2,148,2,1
502,794,56,1,6680.0,132,2,74,1,0
503,668,0,0,0.0,74,1,74,1,1
504,794,56,1,10220.0,132,2,74,1,0
505,502,0,0,0.0,74,1,74,1,1
506,184,0,0,0.0,74,1,74,1,1
507,117,0,0,0.0,74,1,74,1,1
508,618,0,0,0.0,74,1,74,1,1
509,635,0,0,0.0,74,1,74,1,1
510,722,0,0,64707347900.0,518,7,518,7,1
511,794,56,1,7080.0,132,2,74,1,0
512,124,0,0,0.0,74,1,74,1,1
513,794,56,1,9390.0,132,2,74,1,0
514,794,56,1,6190.0,132,2,74,1,0
515,794,56,1,7560.0,132,2,74,1,0
516,794,56,1,7470.0,132,2,74,1,0
517,375,0,0,0.0,74,1,74,1,1
518,402,0,0,0.0,74,1,74,1,1
519,158,0,0,0.0,74,1,74,1,1
520,794,56,1,6290.0,132,2,74,1,0
521,324,0,0,0.0,74,1,74,1,1
522,794,56,1,7080.0,132,2,74,1,0
523,313,0,0,0.0,74,1,74,1,1
524,69,0,0,0.0,74,1,74,1,1
525,413,0,0,0.0,74,1,74,1,1
526,233,0,0,0.0,74,1,74,1,0
527,794,144,2,29710.0,424,2,74,4,0
528,267,0,0,0.0,74,1,74,1,1
529,567,0,0,0.0,74,1,74,1,1
530,794,56,1,6560.0,132,2,74,1,0
531,413,0,0,0.0,74,1,74,1,0
532,347,0,0,0.0,74,1,74,1,1
533,614,0,0,0.0,74,1,74,1,1
534,794,56,1,8030.0,132,2,74,1,0
535,794,56,1,9510.0,132,2,74,1,0
536,146,0,0,0.0,74,1,74,1,0
537,794,56,1,6370.0,132,2,74,1,0
538,293,0,0,0.0,74,1,74,1,1
539,794,56,1,6320.0,132,2,74,1,0
540,794,56,1,6420.0,132,2,74,1,0
541,631,0,0,0.0,74,1,74,1,1
542,499,0,0,0.0,74,1,74,1,1
543,67,0,0,0.0,74,1,74,1,1
544,481,0,0,0.0,74,1,74,1,1
545,794,56,1,6250.0,132,2,74,1,0
546,309,0,0,0.0,74,1,74,1,1
547,794,56,1,17740.0,132,2,74,1,0
548,794,56,1,7200.0,132,2,74,1,1
549,461,0,0,0.0,74,1,74,1,1
550,169,0,0,1021578700.0,148,2,148,2,1
551,454,0,0,0.0,74,1,74,1,1
552,211,0,0,0.0,74,1,74,1,1
553,151,0,0,0.0,74,1,74,1,1
554,794,56,1,6930.0,132,2,74,1,0
555,100,0,0,0.0,74,1,74,1,1
556,794,56,1,96190.0,132,2,74,1,0
557,427,0,0,1025743500.0,148,2,148,2,1
558,664,0,0,1026257300.0,148,2,148,2,1
559,160,0,0,0.0,74,1,74,1,1
560,289,0,0,0.0,74,1,74,1,1
561,399,0,0,0.0,74,1,74,1,1
562,357,0,0,0.0,74,1,74,1,1
563,575,0,0,0.0,74,1,74,1,0
564,176,0,0,0.0,74,1,74,1,1
565,794,56,1,6270.0,132,2,74,1,0
566,425,0,0,0.0,74,1,74,1,1
567,368,0,0,1022247400.0,148,2,148,2,1
568,794,56,1,7940.0,132,2,74,1,0
569,794,56,1,8450.0,132,2,74,1,0
570,81,0,0,0.0,74,1,74,1,1
571,612,0,0,0.0,74,1,74,1,1
572,639,0,0,0.0,74,1,74,1,1
573,206,0,0,0.0,74,1,74,1,1
574,175,0,0,0.0,74,1,74,1,1
575,794,56,1,8470.0,132,2,74,1,0
576,354,0,0,0.0,74,1,74,1,1
577,794,56,1,7290.0,132,2,74,1,0
578,183,0,0,0.0,74,1,74,1,1
579,794,56,1,7470.0,132,2,74,1,0
580,794,56,1,6240.0,132,2,74,1,0
581,794,56,1,7320.0,132,2,74,1,0
582,207,0,0,0.0,74,1,74,1,1
583,262,0,0,0.0,74,1,74,1,1
584,189,0,0,0.0,74,1,74,1,1
585,506,0,0,0.0,74,1,74,1,1
586,244,0,0,0.0,74,1,74,1,1
587,726,0,0,15330620200.0,370,5,370,5,1
588,613,0,0,0.0,74,1,74,1,1
589,794,56,1,6400.0,132,2,74,1,0
590,322,0,0,0.0,74,1,74,1,1
591,735,0,0,64707347900.0,518,7,518,7,1
592,794,56,1,7770.0,132,2,74,1,0
593,334,0,0,0.0,74,1,74,1,1
594,378,0,0,0.0,74,1,74,1,1
595,292,0,0,0.0,74,1,74,1,1
596,794,56,1,6380.0,132,2,74,1,0
597,198,0,0,0.0,74,1,74,1,1
598,794,56,1,6290.0,132,2,74,1,0
599,794,56,1,11840.0,132,2,74,1,0
600,566,0,0,0.0,74,1,74,1,1
601,213,0,0,0.0,74,1,74,1,1
602,242,0,0,0.0,74,1,74,1,1
603,130,0,0,0.0,74,1,74,1,1
604,555,0,0,0.0,74,1,74,1,1
